date,open,high,low,close,volume,adj_close
2025-08-01,210.86,213.58,201.5,202.38,104434472,202.38
2025-08-04,204.5,207.88,201.68,203.35,75109291,203.35
2025-08-05,203.4,205.34,202.16,202.92,44154854,202.92
2025-08-06,205.63,215.38,205.59,213.25,108483103,213.25
2025-08-07,218.88,220.85,216.58,220.03,90224834,220.03
2025-08-08,220.83,231.0,219.25,229.35,113853412,229.35
2025-08-11,227.92,229.56,224.76,227.18,61806086,227.18
2025-08-12,228.0,230.8,227.07,229.65,55672299,229.65
2025-08-13,231.07,235.0,230.43,233.33,69878545,233.33
2025-08-14,234.06,235.12,230.85,232.78,51916242,232.78
2025-08-15,234.0,234.28,229.34,231.59,56038587,231.59
